name,description
stock_master,This table maintains current inventory levels. It tracks the quantity of products available at various locations. The data facilitates inventory management and helps in setting appropriate reorder points. The table also records the timestamp of the most recent stock update.
stock_movement,This table records stock movements within a company's inventory system. It tracks when and where products are moved. The table captures the type of movement and the quantity change. This data is useful for inventory management and tracking stock levels.
stock_purchase_orders,This table stores information about stock purchase orders. It tracks the procurement of products from suppliers. The table records order placement and receipt details. It includes the quantities ordered and received. This data facilitates analysis of the stock purchasing process.
stock_thresholds,This table stores inventory management thresholds. It defines optimal reorder points for products. The table facilitates efficient stock level maintenance. It supports supply chain optimization and planning. This data ensures adequate product availability.
stock_transfer_items,This table records details of items included in stock transfers. It captures the movement of products between locations. The table provides a record of the quantity of each product transferred during a specific stock transfer event. This data enables analysis of inventory flow and tracking of stock movements.
supplier_master,This table stores information about suppliers. It serves as a central repository for supplier-related data. The table facilitates supplier management and analysis. It supports reporting on supplier locations and contact information.
customer_master,This table stores customer information. It serves as a central repository for customer data. The table includes contact details and location information. It is used for customer relationship management. It supports analysis of customer demographics.
driver_master,This table stores core data about drivers. It serves as a central repository for driver information. The table facilitates the association of drivers with employee records. It supports driver management and assignment tracking within the organization.
fleet_master,This table stores essential details about vehicles in a fleet. It serves as a central repository for tracking and managing fleet assets. The table facilitates analysis of the fleet's composition and the status of individual vehicles. It supports reporting on vehicle inventory and operational readiness.
location_master,This table stores a comprehensive list of locations. It serves as a central repository for location-specific details. The data includes addresses, contact numbers, and location types. This information is useful for managing and referencing various locations.
pos_transaction_items,This table stores granular data about items sold within each point-of-sale transaction. It captures details about the products sold, their quantities, and their corresponding prices. The data allows for detailed analysis of sales at the individual item level. This enables insights into product performance within transactions.
pos_transactions,This table stores point-of-sale transaction details. It captures data related to purchases, including payment information and transaction timestamps. The table tracks the location where each transaction occurred. It also records the status of each transaction. This data supports sales analysis and reporting.
product_master,This table stores comprehensive product information. It serves as a central repository for product attributes. The table includes details about product categorization, physical dimensions, pricing, and stock management. It supports product analysis and inventory control.
product_suppliers,This table tracks the relationships between products and the entities that supply them. It identifies the specific suppliers for each product. The table also categorizes the nature or role of each supplier. This data is useful for understanding product sourcing strategies. It supports analysis of the supplier ecosystem.
sales_forecast,This table stores sales predictions. It organizes forecasts by product and location. The table facilitates analysis of anticipated sales trends. It supports inventory management and resource allocation.
stock_allocation_master,This table stores information about stock allocations. It tracks the quantity of products at various locations. The data is used for inventory tracking and management. This table supports analysis of stock distribution across the organization. It provides a snapshot of product availability.
stock_transfers,This table stores information about the movement of stock between locations. It tracks the progress of each stock transfer, from its origin to its destination. The table records key details about the transfer process. This data facilitates analysis of stock transfer efficiency and logistics.
